software07,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)7%=0.07,0.136986301,0,0.054794521,0.136986301,0.136986301,0.054794521,0.164383563,0.219178083,0.191780821,0.219178083,0.219178083,0.223901484
argouml(12)7%=0.07,0.196573995,0,0.196573995,0.308901995,0.308901995,0.112327998,0.252737995,0.252737995,0.280819993,0.280819993,0.308901995,0.290824486
jedit(7)7%=0.07,0.143936668,0,0.143936668,0.167926113,0.167926113,0.143936668,0.119947223,0.167926113,0.167926113,0.167926113,0.167926113,0.168491997
jgap(18)7%=0.07,0.339558575,0,0.127334467,0.212224113,0.212224113,0.297113754,0.212224113,0.212224113,0.127334467,0.169779287,0.212224113,0.2285192
jhotdraw(9)7%=0.07,0.297366186,0,0.254885303,0.297366186,0.297366186,0.339847069,0.297366186,0.297366186,0.297366186,0.297366186,0.382327952,0.460299195
jmeter_core(14)7%=0.07,0.24844721,0,0.310559009,0.186335405,0.186335405,0.186335405,0.24844721,0.24844721,0.24844721,0.24844721,0.310559009,0.319590927
JPMC(24)7%=0.07,0,0,0,0.233304175,0.233304175,0,0,0.058326044,0.058326044,0.058326044,0,0
Maze(27)7%=0.07,0.188501415,0,0.12566761,0.25133522,0.25133522,0.188501415,0.25133522,0.25133522,0.25133522,0.25133522,0.25133522,0.25356577
neuroph(24)7%=0.07,0.330396476,0,0.275330392,0.330396476,0.330396476,0.165198238,0.330396476,0.495594714,0.550660784,0.440528643,0.385462546,0.522799884
tomcat(28)7%=0.07,0.270469633,0.012294074,0.258175559,0.135234816,0.135234816,0.245881486,0.221293336,0.184411113,0.135234816,0.221293336,0.245881486,0.267737617
Xerces(6)7%=0.07,0.103265781,0,0.077449335,0.05163289,0.05163289,0.05163289,0.025816445,0.025816445,0,0.025816445,0.025816445,0.080428954
