software06,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)6%=0.06,0.125,0,0.0625,0.125,0.125,0.0625,0.15625,0.218749999,0.218749999,0.250000001,0.218749999,0.223356732
argouml(12)6%=0.06,0.191204589,0,0.223072019,0.318674313,0.318674313,0.095602294,0.286806883,0.286806883,0.318674313,0.318674313,0.350541748,0.32970656
jedit(7)6%=0.06,0.165608612,0,0.165608612,0.193210047,0.193210047,0.165608612,0.138007177,0.165608612,0.193210047,0.193210047,0.193210047,0.193852119
jgap(18)6%=0.06,0.279329612,0,0.139664806,0.232774679,0.232774679,0.279329612,0.232774679,0.18621974,0.139664806,0.18621974,0.18621974,0.199600799
jhotdraw(9)6%=0.06,0.28818444,0,0.28818444,0.336215179,0.336215179,0.384245918,0.336215179,0.336215179,0.28818444,0.336215179,0.384245918,0.450450453
jmeter_core(14)6%=0.06,0.270270276,0,0.202702704,0.202702704,0.202702704,0.202702704,0.202702704,0.202702704,0.202702704,0.270270276,0.270270276,0.346981267
JPMC(24)6%=0.06,0,0,0,0.182815356,0.182815356,0,0,0.060938453,0.060938453,0.060938453,0,0
Maze(27)6%=0.06,0.192678229,0,0.128452152,0.256904305,0.256904305,0.192678229,0.256904305,0.256904305,0.256904305,0.256904305,0.256904305,0.194174759
neuroph(24)6%=0.06,0.289351847,0,0.289351847,0.347222222,0.347222222,0.173611111,0.347222222,0.462962973,0.520833333,0.462962973,0.405092583,0.546448087
tomcat(28)6%=0.06,0.278862243,0,0.292805354,0.153374232,0.153374232,0.237032906,0.237032906,0.181260456,0.125488009,0.223089796,0.250976017,0.274447492
Xerces(6)6%=0.06,0.118941422,0,0.089206066,0.029735355,0.029735355,0.059470711,0.029735355,0.029735355,0,0.029735355,0.029735355,0.030864198
