software03,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)3%=0.03,0.162162164,0,0.108108109,0.108108109,0.108108109,0.108108109,0.27027027,0.324324328,0.27027027,0.324324328,0.378378377,0.275178866
argouml(12)3%=0.03,0.321027287,0,0.267522737,0.374531831,0.374531831,0.374531831,0.428036387,0.481540931,0.535045475,0.481540931,0.588550031,0.550509217
jedit(7)3%=0.03,0.302038762,0,0.302038762,0.302038762,0.302038762,0.302038762,0.251698969,0.302038762,0.302038762,0.302038762,0.302038762,0.3029538
jgap(18)3%=0.03,0.262467193,0,0.131233596,0.131233596,0.131233596,0.262467193,0.131233596,0.131233596,0.131233596,0.131233596,0.131233596,0.137741047
jhotdraw(9)3%=0.03,0.394944714,0,0.315955767,0.552922594,0.552922594,0.552922594,0.315955767,0.394944714,0.315955767,0.315955767,0.394944714,0.399201598
jmeter_core(14)3%=0.03,0.091743122,0,0.183486244,0.091743122,0.091743122,0.27522936,0.091743122,0.27522936,0.27522936,0.27522936,0.183486244,0.18682859
JPMC(24)3%=0.03,0,0,0,0.070397749,0.070397749,0,0,0,0.070397749,0,0,0
Maze(27)3%=0.03,0.1375989,0,0.06879945,0.1375989,0.1375989,0.06879945,0.1375989,0.1375989,0.1375989,0.1375989,0.1375989,0.069084629
neuroph(24)3%=0.03,0.27322405,0,0.204918033,0.136612025,0.136612025,0.204918033,0.341530048,0.27322405,0.27322405,0.204918033,0.27322405,0.35124692
tomcat(28)3%=0.03,0.279981335,0,0.279981335,0.139990668,0.139990668,0.279981335,0.233317781,0.186654226,0.139990668,0.209986,0.256649555,0.288357564
Xerces(6)3%=0.03,0.054600055,0,0.163800164,0.054600055,0.054600055,0.163800164,0.054600055,0.054600055,0,0.054600055,0,0.112994351
