software14,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)14%=0.14,0.102941176,0,0.102941176,0.132352941,0.132352941,0.102941176,0.102941176,0.117647059,0.117647059,0.117647059,0.132352941,0.120373157
argouml(12)14%=0.14,0.1533272,0,0.1533272,0.18399264,0.18399264,0.13799448,0.18399264,0.18399264,0.18399264,0.18399264,0.18399264,0.191174128
jedit(7)14%=0.14,0.087642419,0,0.075122073,0.087642419,0.087642419,0.075122073,0.087642419,0.087642419,0.087642419,0.087642419,0.087642419,0.087950748
jgap(18)14%=0.14,0.34102833,0,0.34102833,0.288562434,0.288562434,0.34102833,0.183630641,0.183630641,0.157397693,0.157397693,0.183630641,0.230149598
jhotdraw(9)14%=0.14,0.211366839,0,0.211366839,0.211366839,0.211366839,0.211366839,0.187881635,0.187881635,0.164396431,0.211366839,0.211366839,0.29742234
jmeter_core(14)14%=0.14,0.357142856,0.03968254,0.317460321,0.357142856,0.357142856,0.357142856,0.277777778,0.238095239,0.238095239,0.277777778,0.317460321,0.288184438
JPMC(24)14%=0.14,0.044863168,0.089726336,0,0.314042166,0.314042166,0.044863168,0.089726336,0.089726336,0.089726336,0.044863168,0.044863168,0.046620047
Maze(27)14%=0.14,0.327332244,0.272776862,0.272776862,0.38188761,0.38188761,0.436442992,0.436442992,0.436442992,0.436442992,0.490998374,0.436442992,0.49861497
neuroph(24)14%=0.14,0.493421053,0.041118422,0.493421053,0.452302636,0.452302636,0.328947373,0.534539483,0.616776316,0.657894747,0.534539483,0.493421053,0.624164055
tomcat(28)14%=0.14,0.168146354,0.020177563,0.174872208,0.107613667,0.107613667,0.181598063,0.127791229,0.121065375,0.107613667,0.161420501,0.174872208,0.181983621
Xerces(6)14%=0.14,0.080569357,0,0.080569357,0.067141131,0.067141131,0.080569357,0.053712905,0.040284678,0.040284678,0.080569357,0.080569357,0.083798883
